workload,NBO,QPRAC-NoOp,QPRAC,QPRAC+Proactive,QPRAC+Proactive-EA,QPRAC-Ideal
401.bzip2,32.0,0.9200681745108661,1.000990580803396,1.0,1.0,1.0
403.gcc,32.0,1.0,1.0,1.0,1.0,1.0
429.mcf,32.0,0.6631714173639649,0.9419213703641858,1.0,1.0,1.0
433.milc,32.0,0.9293192259691274,0.997433738838819,1.0,1.0,1.0
434.zeusmp,32.0,0.6576806273880837,0.9730518490925634,1.0,1.0,1.0
435.gromacs,32.0,0.9995865903650293,0.9999514851738966,1.0,1.0,1.0
436.cactusADM,32.0,0.7518414782636982,0.9881183994025184,1.0,1.0,1.0
437.leslie3d,32.0,0.8042545638793455,0.9913653822759293,1.0,1.0,1.0
444.namd,32.0,1.0,1.0,1.0,1.0,1.0
445.gobmk,32.0,0.9997046564820684,0.9998907829452358,1.0,1.0,1.0
447.dealII,32.0,1.0,1.0,1.0,1.0,1.0
450.soplex,32.0,0.6098275863833172,0.954651201097635,1.0,1.0,1.0
456.hmmer,32.0,0.8829091793850979,0.9970092543175919,1.0,1.0,1.0
458.sjeng,32.0,1.0,1.0,1.0,1.0,1.0
459.GemsFDTD,32.0,0.8891899602588808,0.995519917446017,1.0,1.0,1.0
462.libquantum,32.0,0.7031430666722627,0.9800012046366615,1.0,1.0,1.0
464.h264ref,32.0,0.9972413841352425,0.9999668925984667,1.0,1.0,1.0
470.lbm,32.0,0.6497235102924834,0.972713592759113,1.0,1.0,1.0
471.omnetpp,32.0,0.6687885840329431,0.9693766637152644,1.0,1.0,1.0
473.astar,32.0,0.9673688006220048,0.9993089858053262,1.0,1.0,1.0
481.wrf,32.0,1.0,1.0,1.0,1.0,1.0
482.sphinx3,32.0,0.5878840691906679,0.9813862387713608,1.0,1.0,1.0
483.xalancbmk,32.0,0.584614221637839,0.9625521571435184,1.0,1.0,1.0
500.perlbench,32.0,0.9696725193238884,0.9992166667834241,1.0,1.0,1.0
502.gcc,32.0,0.9640447681379658,0.9951065205562151,1.0,1.0,1.0
505.mcf,32.0,0.7705663356130148,0.9931095794982507,1.0,1.0,1.0
507.cactuBSSN,32.0,0.8892432861931018,0.9891480535299274,1.0,1.0,1.0
508.namd,32.0,1.0002064698766142,0.999985114993623,1.0,1.0,1.0
510.parest,32.0,0.5896106576867662,0.9787626937920173,1.0,1.0,1.0
511.povray,32.0,1.0,1.0,1.0,1.0,1.0
519.lbm,32.0,0.649170407069767,0.9737098137318366,1.0,1.0,1.0
520.omnetpp,32.0,0.6715104590138284,0.9848321287787991,1.0,1.0,1.0
523.xalancbmk,32.0,0.9100206949028153,0.9957802571850274,1.0,1.0,1.0
525.x264,32.0,0.9999145588993696,1.000000915194235,1.0,1.0,1.0
526.blender,32.0,0.9997881846335298,0.999999742306971,1.0,1.0,1.0
531.deepsjeng,32.0,1.0,1.0,1.0,1.0,1.0
538.imagick,32.0,1.0,1.0,1.0,1.0,1.0
541.leela,32.0,1.0,1.0,1.0,1.0,1.0
544.nab,32.0,0.9998154877079567,0.9998154877079567,1.0,1.0,1.0
549.fotonik3d,32.0,0.8758997719812929,0.9955172867829731,1.0,1.0,1.0
557.xz,32.0,0.8270733289036823,0.9947038669803643,1.0,1.0,1.0
grep_map0,32.0,0.9947878110328525,1.000043038315203,1.0,1.0,1.0
h264_encode,32.0,1.0,1.0,1.0,1.0,1.0
jp2_decode,32.0,0.8102874151810282,0.9901207201665108,1.0,1.0,1.0
jp2_encode,32.0,0.8756182218149434,0.9924887137487473,1.0,1.0,1.0
tpcc64,32.0,0.8402950444907772,0.9939406595295585,1.0,1.0,1.0
tpch17,32.0,0.8958537022927268,0.9940285328442571,1.0,1.0,1.0
tpch2,32.0,0.8442716883062783,0.9921626095607111,1.0,1.0,1.0
tpch6,32.0,0.9850391645562493,0.998823101177983,1.0,1.0,1.0
wc_8443,32.0,0.990992910710259,0.9999626910675827,1.0,1.0,1.0
wc_map0,32.0,0.9903019248306298,0.9998510636344694,1.0,1.0,1.0
ycsb_abgsave,32.0,0.9148790465658528,0.9977642281362008,1.0,1.0,1.0
ycsb_aserver,32.0,0.9670990800535825,0.9985160242552433,1.0,1.0,1.0
ycsb_bserver,32.0,0.9805212728345027,0.9988257299109039,1.0,1.0,1.0
ycsb_cserver,32.0,0.9863406245758966,0.9992426270601292,1.0,1.0,1.0
ycsb_dserver,32.0,0.9913103126238237,0.998666749405586,1.0,1.0,1.0
ycsb_eserver,32.0,0.9651158962720796,0.9984353784314748,1.0,1.0,1.0
SPEC2K6 (23),32.0,0.8217135198897206,0.9870387413326337,1.0,1.0,1.0
SPEC2K17 (18),32.0,0.8839230027724287,0.9943970233412337,1.0,1.0,1.0
TPC (4),32.0,0.8895106553532123,0.9947356563439773,1.0,1.0,1.0
Hadoop (3),32.0,0.9920255903455809,0.9999522612405363,1.0,1.0,1.0
MediaBench (3),32.0,0.8919036916839483,0.9941942383678997,1.0,1.0,1.0
YCSB (6),32.0,0.9672036963160999,0.9985750229340987,1.0,1.0,1.0
All (57),32.0,0.8756527089254571,0.9924144007637387,1.0,1.0,1.0
