workload,PSQ_size,QPRAC,QPRAC+1Proactive_per_4tREFI,QPRAC+1Proactive_per_2tREFI,QPRAC+1Proactive_per_1tREFI
401.bzip2,1.0,0.9939823719204299,1.0,1.0,1.0
401.bzip2,2.0,0.9947314041422557,1.0,1.0,1.0
401.bzip2,3.0,0.9970051203902056,1.0,1.0,1.0
401.bzip2,4.0,0.9893915778744464,1.0,1.0,1.0
401.bzip2,5.0,0.9948593696514846,1.0,1.0,1.0
403.gcc,1.0,1.0,1.0,1.0,1.0
403.gcc,2.0,1.0,1.0,1.0,1.0
403.gcc,3.0,1.0,1.0,1.0,1.0
403.gcc,4.0,1.0,1.0,1.0,1.0
403.gcc,5.0,1.0,1.0,1.0,1.0
433.milc,1.0,0.8734794647378152,1.0,1.0,1.0
433.milc,2.0,0.9972488732177319,1.0,1.0,1.0
433.milc,3.0,0.9971760789199657,1.0,1.0,1.0
433.milc,4.0,0.9973862145478988,1.0,1.0,1.0
433.milc,5.0,0.997414351511013,1.0,1.0,1.0
434.zeusmp,1.0,0.8003104973826942,0.8875215636840987,0.905371290587717,1.0
434.zeusmp,2.0,0.8711510003557846,0.9770834331765386,0.9972042305185111,1.0
434.zeusmp,3.0,0.959856056400299,0.9431315667328453,0.9984977204549852,1.0
434.zeusmp,4.0,0.961553101390654,0.9815134860778073,0.9987820431314112,1.0
434.zeusmp,5.0,0.9618910847784498,0.9816075238621823,0.9990818917717837,1.0
435.gromacs,1.0,0.9984941044386131,1.0,1.0,1.0
435.gromacs,2.0,0.999073885810713,1.0,1.0,1.0
435.gromacs,3.0,0.9997787518292338,1.0,1.0,1.0
435.gromacs,4.0,0.9991180321556146,1.0,1.0,1.0
435.gromacs,5.0,0.9999696701673775,1.0,1.0,1.0
436.cactusADM,1.0,0.9028026111037787,1.0000120983165732,1.0,1.0
436.cactusADM,2.0,0.9840785176182308,1.000039858627995,1.0,1.0
436.cactusADM,3.0,0.9861760730742576,1.0,1.0,1.0
436.cactusADM,4.0,0.9857659455599803,1.0,1.0,1.0
436.cactusADM,5.0,0.9862021569665148,1.0,1.0,1.0
437.leslie3d,1.0,0.8182366868171765,0.7704342656365596,1.0000272060451199,1.0
437.leslie3d,2.0,0.9762450911293071,0.996584648143438,1.0,1.0
437.leslie3d,3.0,0.977843728229464,0.9974938174870188,1.0,1.0
437.leslie3d,4.0,0.9782283212868432,0.9977246739515441,1.0,1.0
437.leslie3d,5.0,0.9776928025568842,0.9978352356561673,1.0,1.0
444.namd,1.0,1.0,1.0,1.0,1.0
444.namd,2.0,1.0,1.0,1.0,1.0
444.namd,3.0,1.0,1.0,1.0,1.0
444.namd,4.0,1.0,1.0,1.0,1.0
444.namd,5.0,1.0,1.0,1.0,1.0
445.gobmk,1.0,0.9999655617981763,1.0,1.0,1.0
445.gobmk,2.0,1.000053792106695,1.0,1.0,1.0
445.gobmk,3.0,1.000035834040411,1.0,1.0,1.0
