workload,NBO,QPRAC-NoOp,QPRAC,QPRAC+Proactive,QPRAC-Ideal
401.bzip2,32.0,0.893764862830206,0.9948515341911768,1.0,1.0
403.gcc,32.0,1.0,1.0,1.0,1.0
429.mcf,32.0,0.6638630738432103,0.9410437592714325,1.0,1.0
433.milc,32.0,0.9380820406457706,0.9974117946336419,1.0,1.0
434.zeusmp,32.0,0.7298509853990055,0.9623234964822928,1.0,1.0
435.gromacs,32.0,0.984954745149746,0.9999696701673775,1.0,1.0
436.cactusADM,32.0,0.7645183013945893,0.9866185768808065,1.0,1.0
437.leslie3d,32.0,0.750322824919222,0.9781248047120439,1.0,1.0
444.namd,32.0,1.0,1.0,1.0,1.0
445.gobmk,32.0,0.9997905563251066,1.000004472651872,1.0,1.0
447.dealII,32.0,1.0,1.0,1.0,1.0
450.soplex,32.0,0.6135343972151205,0.9673270090653316,1.0,1.0
456.hmmer,32.0,0.8325045101468078,0.9936649906066881,1.0,1.0
458.sjeng,32.0,1.0,1.0,1.0,1.0
459.GemsFDTD,32.0,0.8661091541935921,0.9905563237389617,1.0,1.0
462.libquantum,32.0,0.6967987645458605,0.9756649272041497,1.0,1.0
464.h264ref,32.0,0.9940296110412653,0.999748356113877,1.0,1.0
470.lbm,32.0,0.6811865577748943,0.9675709795636157,1.0,1.0
471.omnetpp,32.0,0.6633443041488253,0.9615883819900475,1.0,1.0
473.astar,32.0,0.9795609539743121,0.9992482309205801,1.0,1.0
481.wrf,32.0,1.0,1.0,1.0,1.0
482.sphinx3,32.0,0.5551230069967626,0.9720329565726837,1.0,1.0
483.xalancbmk,32.0,0.6104359203531432,0.9596495597246039,1.0,1.0
500.perlbench,32.0,0.9709777291640113,0.9995522339572844,1.0,1.0
502.gcc,32.0,0.9549852399146971,1.0004851548380347,1.0,1.0
505.mcf,32.0,0.7562472666791517,0.9804015865482062,1.0,1.0
507.cactuBSSN,32.0,0.8905571556231676,0.9914148389953032,1.0,1.0
508.namd,32.0,0.9998486453935846,1.0002988553311365,1.0,1.0
510.parest,32.0,0.540650281858413,0.970806763863589,1.0,1.0
511.povray,32.0,1.0,1.0,1.0,1.0
519.lbm,32.0,0.6795567949528967,0.968926317757293,1.0,1.0
520.omnetpp,32.0,0.7015532046422026,0.9859501014812765,1.0,1.0
523.xalancbmk,32.0,0.8608202749893145,0.995429616226013,1.0,1.0
525.x264,32.0,1.0,1.0,1.0,1.0
526.blender,32.0,1.0001007018861372,1.0,1.0,1.0
531.deepsjeng,32.0,1.0,1.0,1.0,1.0
538.imagick,32.0,1.0,1.0,1.0,1.0
541.leela,32.0,1.0,1.0,1.0,1.0
544.nab,32.0,0.9999175071582699,0.9999175071582699,1.0,1.0
549.fotonik3d,32.0,0.8636634430281308,0.9923351586256454,1.0,1.0
557.xz,32.0,0.828377735171407,0.9934794280635295,1.0,1.0
grep_map0,32.0,0.9961623988479962,0.9991651261567396,1.0,1.0
h264_encode,32.0,1.0,1.0,1.0,1.0
jp2_decode,32.0,0.6875525298873187,0.9806200521200932,1.0,1.0
jp2_encode,32.0,0.8363581581660191,0.9801643093007854,1.0,1.0
tpcc64,32.0,0.8283363816807267,0.9967914103235456,1.0,1.0
tpch17,32.0,0.9008037973382708,1.00005422965456,1.0,1.0
tpch2,32.0,0.8461232428044368,0.9993030456258799,1.0,1.0
tpch6,32.0,0.9806407030954806,0.9978161566288548,1.0,1.0
wc_8443,32.0,0.9878277256190743,0.9993959311774817,1.0,1.0
wc_map0,32.0,0.9869756540940207,0.9994045363090921,1.0,1.0
ycsb_abgsave,32.0,0.8797716775977771,0.9950136160756883,1.0,1.0
ycsb_aserver,32.0,0.9691156489612923,0.9972913075590113,1.0,1.0
ycsb_bserver,32.0,0.9839151399563585,0.9989469662736816,1.0,1.0
ycsb_cserver,32.0,0.9881503221482922,0.9989396277126924,1.0,1.0
ycsb_dserver,32.0,0.9811803401200759,0.9974555659528024,1.0,1.0
ycsb_eserver,32.0,0.9538965800799762,0.9987370326971232,1.0,1.0
SPEC2K6 (23),32.0,0.8204426156361311,0.9845155135893863,1.0,1.0
SPEC2K17 (18),32.0,0.8794906361554875,0.9932273175616687,1.0,1.0
TPC (4),32.0,0.8870439156571623,0.9984904033770722,1.0,1.0
Hadoop (3),32.0,0.9903132704665456,0.9993218583953773,1.0,1.0
MediaBench (3),32.0,0.8315711120925803,0.9868850076048632,1.0,1.0
YCSB (6),32.0,0.9585822775405607,0.9977297159053676,1.0,1.0
All (57),32.0,0.868781627643515,0.990794412633153,1.0,1.0
