workload,NBO,QPRAC-NoOp,QPRAC,QPRAC+Proactive,QPRAC-Ideal
401.bzip2,32.0,1.6077072593594186,0.05540426331110902,0.0,0.0
403.gcc,32.0,0.0,0.0,0.0,0.0
429.mcf,32.0,3.0490575277017706,0.5448347450589603,0.0,0.0
433.milc,32.0,0.5866067848263694,0.026347673247896792,0.0,0.0
434.zeusmp,32.0,2.317596032984792,0.32591998688010787,0.0,0.0
435.gromacs,32.0,0.1758882309400444,0.006387375540108961,0.0,0.0
436.cactusADM,32.0,2.44882101651586,0.13395530483835974,0.0,0.0
437.leslie3d,32.0,2.2390075958747606,0.1885283870058204,0.0,0.0
444.namd,32.0,0.0,0.0,0.0,0.0
445.gobmk,32.0,0.01421068890948409,0.0007209805335255948,0.0,0.0
447.dealII,32.0,0.0,0.0,0.0,0.0
450.soplex,32.0,3.664631009839008,0.33502362965262683,0.0,0.0
456.hmmer,32.0,2.6812239030734477,0.09943699287961583,0.0,0.0
458.sjeng,32.0,0.00020787859889824343,0.00010393929944912172,0.0,0.0
459.GemsFDTD,32.0,1.1717898073352178,0.08002707275803722,0.0,0.0
462.libquantum,32.0,2.546618602380684,0.2048735197253171,0.0,0.0
464.h264ref,32.0,0.28519130845536134,0.012593560651063325,0.0,0.0
470.lbm,32.0,2.7338939365408153,0.2831711151247575,0.0,0.0
471.omnetpp,32.0,3.3062104001369943,0.4103870490590846,0.0,0.0
473.astar,32.0,0.21668297737608658,0.007812270551264354,0.0,0.0
481.wrf,32.0,0.0,0.0,0.0,0.0
482.sphinx3,32.0,4.0914151637835845,0.2628127603536779,0.0,0.0
483.xalancbmk,32.0,3.740854462570169,0.3941655560491633,0.0,0.0
500.perlbench,32.0,0.40006729475100944,0.008888888888888889,0.0,0.0
502.gcc,32.0,0.687434279705573,0.021745114230663363,0.0,0.0
505.mcf,32.0,2.33596837944664,0.09182590233545647,0.0,0.0
507.cactuBSSN,32.0,1.32864010989011,0.10520946247529171,0.0,0.0
508.namd,32.0,0.010002041232904674,0.0007145773785218457,0.0,0.0
510.parest,32.0,4.032026133575079,0.2778976269856835,0.0,0.0
511.povray,32.0,0.0,0.0,0.0,0.0
519.lbm,32.0,2.747465901590061,0.27327808797621156,0.0,0.0
520.omnetpp,32.0,2.8417251828062344,0.13891510035449237,0.0,0.0
523.xalancbmk,32.0,1.8891301571081875,0.0668197644269946,0.0,0.0
525.x264,32.0,0.0,0.0,0.0,0.0
526.blender,32.0,0.0016472526179550535,0.00011763321962122103,0.0,0.0
531.deepsjeng,32.0,0.0,0.0,0.0,0.0
538.imagick,32.0,0.0,0.0,0.0,0.0
541.leela,32.0,0.0,0.0,0.0,0.0
544.nab,32.0,0.00010206164523372117,0.00010206164523372117,0.0,0.0
549.fotonik3d,32.0,1.2003013807443403,0.06885303119798099,0.0,0.0
557.xz,32.0,1.9768748102418783,0.061486117018044836,0.0,0.0
grep_map0,32.0,0.052620247168755116,0.0019412449851171217,0.0,0.0
h264_encode,32.0,0.0,0.0,0.0,0.0
jp2_decode,32.0,2.7506674498077746,0.1803222488858416,0.0,0.0
jp2_encode,32.0,1.5225534995249514,0.18272741705032544,0.0,0.0
tpcc64,32.0,1.987257792754844,0.06325510784995889,0.0,0.0
tpch17,32.0,0.9615313653136531,0.029465048709622285,0.0,0.0
tpch2,32.0,1.4545568761464431,0.04656056429862778,0.0,0.0
tpch6,32.0,0.2513816781108692,0.009719498678489214,0.0,0.0
wc_8443,32.0,0.12605502909899755,0.003855169010609425,0.0,0.0
wc_map0,32.0,0.13035894611218213,0.004092261904761905,0.0,0.0
ycsb_abgsave,32.0,1.4511767000390066,0.06647058823529411,0.0,0.0
ycsb_aserver,32.0,0.3651426174496644,0.028164454516024603,0.0,0.0
ycsb_bserver,32.0,0.20402331695050863,0.01287927133491907,0.0,0.0
ycsb_cserver,32.0,0.15366416618580497,0.011378223830085191,0.0,0.0
ycsb_dserver,32.0,0.24094424094424094,0.015715467328370553,0.0,0.0
ycsb_eserver,32.0,0.5385438399400845,0.013996976653042942,0.0,0.0
SPEC2K6 (23),32.0,1.6033745472696854,0.14663070358782374,0.0,0.0
SPEC2K17 (18),32.0,1.0806324991864003,0.061991853785171386,0.0,0.0
TPC (4),32.0,1.1636819280814523,0.03725005488417454,0.0,0.0
Hadoop (3),32.0,0.10301140745997826,0.0032962253001628168,0.0,0.0
MediaBench (3),32.0,1.4244069831109087,0.12101655531205568,0.0,0.0
YCSB (6),32.0,0.49224914691821836,0.02476749698295608,0.0,0.0
All (57),32.0,1.1807433944465462,0.08815644418692802,0.0,0.0
