workload,RFMsb-1,RFMsb-2,RFMsb-5,RFMsb-10,RFMsb-17,RFMsb-22,RFMsb-43,RFMsb-45,QPRAC-64,QPRAC-128,QPRAC-256,QPRAC-512,QPRAC-1024
401.bzip2,0.41264407697040145,0.6329004303785603,0.8225204567784067,0.9260359986017774,0.9713201623388389,0.983745927418092,1.0105373803887674,1.0090704210068056,1.0,1.0,1.0,1.0,1.0
403.gcc,0.9150249786403548,0.9592936137207099,0.9883545550702926,0.9986752785051751,1.00386452629743,1.0047851851742735,1.0078509152799908,1.007557410709534,1.0,1.0,1.0,1.0,1.0
429.mcf,0.09659489167436719,0.19238748369509948,0.39355790715538197,0.5749186472501613,0.7100603681106225,0.7724817670265829,0.9091864561628996,0.9167790080358396,1.0,1.0,1.0,1.0,1.0
433.milc,0.16986573855313578,0.2992318797685467,0.5188563108599287,0.6940945004467443,0.8206305949385272,0.8765278569972059,1.000488673408429,1.0070544635852996,1.0,1.0,1.0,1.0,1.0
434.zeusmp,0.1406296027223186,0.25630245300243143,0.47663393236111995,0.6643035626801915,0.8004171149797268,0.8606387208055534,0.9866954781923116,0.9944798919317035,1.0,1.0,1.0,1.0,1.0
435.gromacs,0.5587991267243435,0.7347423588139799,0.8889463955941241,0.9503262975464583,0.9769769263481001,0.987022015698482,1.0041700812866365,1.0050284213128584,1.0,1.0,1.0,1.0,1.0
436.cactusADM,0.1775015871671952,0.31318079936983334,0.5347999583504197,0.704366494041079,0.8216467308213274,0.8720703332364196,0.9802171081973711,0.9845754598059611,1.0,1.0,1.0,1.0,1.0
437.leslie3d,0.17038630407472022,0.30184320631572514,0.5368280020200095,0.7211384262214878,0.8444747136194524,0.8969645998267759,1.0025820593136998,1.0085055395639142,1.0,1.0,1.0,1.0,1.0
444.namd,0.9761564073258282,0.9888267665173348,0.9963077757600269,0.9986637188072337,0.9996757962892647,0.9991535318533704,1.0002058374240685,1.0003774694002932,1.0,1.0,1.0,1.0,1.0
445.gobmk,0.6369481032275645,0.8227467310730886,0.9449205755357067,0.9874193236972209,1.005987748824291,1.011951868287819,1.0204117967446629,1.0212649411441648,1.0,1.0,1.0,1.0,1.0
447.dealII,0.9491232285372433,0.9750235816041201,0.992298780564078,0.9971141675513464,0.9989154121139058,0.9989996437700526,1.000722803331251,1.0007355244712521,1.0,1.0,1.0,1.0,1.0
450.soplex,0.17123163568731206,0.3091250900348838,0.5384072975151031,0.7329802163559516,0.868349273711618,0.9017615358492476,1.0027888497150572,1.011541490539387,1.0,1.0,1.0,1.0,1.0
456.hmmer,0.488516666158393,0.6634434547977524,0.8336316759663055,0.9063317826118639,0.9770337222397327,0.9978648944093169,1.0235765430537629,1.002756555354163,1.0,1.0,1.0,1.0,1.0
458.sjeng,0.6633467399375279,0.8447049380886965,0.9536620977566985,0.9919517333450951,1.0083865779661814,1.0139525487657928,1.023411108461717,1.024064269969314,1.0,1.0,1.0,1.0,1.0
459.GemsFDTD,0.13838509461714327,0.25262141344572225,0.4696632422384101,0.6530441754669397,0.7863483857519282,0.8468737554204449,0.981267215138895,0.9885767383361386,1.0,1.0,1.0,1.0,1.0
462.libquantum,0.1670740125509809,0.3023983620289864,0.5429912431819517,0.7261279123358584,0.8428326596859784,0.8879878892869013,0.9723872615186869,0.9777684768759511,1.0,1.0,1.0,1.0,1.0
