workload,NBO,QPRAC,QPRAC+Proactive,QPRAC+Proactive-EA,QPRAC-Ideal
401.bzip2,16.0,0.997776564297307,1.0,1.0,1.0
401.bzip2,32.0,1.000990580803396,1.0,1.0,1.0
401.bzip2,64.0,0.9999145186854821,1.0,1.0,1.0
401.bzip2,128.0,0.9991035921577096,1.0,1.0,1.0
403.gcc,16.0,0.9999410860157959,1.0,1.0,1.0
403.gcc,32.0,1.0,1.0,1.0,1.0
403.gcc,64.0,1.0,1.0,1.0,1.0
403.gcc,128.0,1.0,1.0,1.0,1.0
429.mcf,16.0,0.8665636132636624,0.9544830973067285,0.9544899515641587,0.9268652739460937
429.mcf,32.0,0.9419213703641858,1.0,1.0,1.0
429.mcf,64.0,0.9721225371414338,1.0,1.0,1.0
429.mcf,128.0,0.9873454542917367,1.0,1.0,1.0
433.milc,16.0,0.9767078272472199,1.0,1.0,1.0
433.milc,32.0,0.997433738838819,1.0,1.0,1.0
433.milc,64.0,0.9997709228356481,1.0,1.0,1.0
433.milc,128.0,1.0,1.0,1.0,1.0
434.zeusmp,16.0,0.9303137899854174,0.9999269866339082,0.999627869566637,0.9996530327082743
434.zeusmp,32.0,0.9730518490925634,1.0,1.0,1.0
434.zeusmp,64.0,0.9979365277991138,1.0,1.0,1.0
434.zeusmp,128.0,0.9994933530012542,1.0,1.0,1.0
435.gromacs,16.0,0.9995866622757107,1.0,1.0,1.0
435.gromacs,32.0,0.9999514851738966,1.0,1.0,1.0
435.gromacs,64.0,1.0,1.0,1.0,1.0
435.gromacs,128.0,1.0,1.0,1.0,1.0
436.cactusADM,16.0,0.9493054075024216,0.9999624294561315,0.9996440259891327,1.0
436.cactusADM,32.0,0.9881183994025184,1.0,1.0,1.0
436.cactusADM,64.0,0.9936221168659852,1.0,1.0,1.0
436.cactusADM,128.0,0.9965733767652222,1.0,1.0,1.0
437.leslie3d,16.0,0.9579892336259717,1.0,1.0,1.0
437.leslie3d,32.0,0.9913653822759293,1.0,1.0,1.0
437.leslie3d,64.0,1.0005437903894212,1.0,1.0,1.0
437.leslie3d,128.0,1.0002770864118267,1.0,1.0,1.0
444.namd,16.0,1.0,1.0,1.0,1.0
444.namd,32.0,1.0,1.0,1.0,1.0
444.namd,64.0,1.0,1.0,1.0,1.0
444.namd,128.0,1.0,1.0,1.0,1.0
445.gobmk,16.0,0.9941958385588566,1.0,1.0,1.0
445.gobmk,32.0,0.9998907829452358,1.0,1.0,1.0
445.gobmk,64.0,1.0,1.0,1.0,1.0
445.gobmk,128.0,1.0,1.0,1.0,1.0
447.dealII,16.0,1.0,1.0,1.0,1.0
447.dealII,32.0,1.0,1.0,1.0,1.0
447.dealII,64.0,1.0,1.0,1.0,1.0
447.dealII,128.0,1.0,1.0,1.0,1.0
450.soplex,16.0,0.9207870529579728,0.9963369164433576,1.0036941490247324,0.9945044316060865
450.soplex,32.0,0.954651201097635,1.0,1.0,1.0
450.soplex,64.0,0.9764700946263335,1.0,1.0,1.0
450.soplex,128.0,1.0068359248098189,1.0,1.0,1.0
456.hmmer,16.0,0.9957900064292171,1.0,1.0,1.0
456.hmmer,32.0,0.9970092543175919,1.0,1.0,1.0
456.hmmer,64.0,0.9991926599887188,1.0,1.0,1.0
456.hmmer,128.0,0.9997963338688391,1.0,1.0,1.0
458.sjeng,16.0,0.9998416336941257,1.0,1.0,1.0
458.sjeng,32.0,1.0,1.0,1.0,1.0
458.sjeng,64.0,1.0,1.0,1.0,1.0
458.sjeng,128.0,1.0,1.0,1.0,1.0
459.GemsFDTD,16.0,0.9506328836725949,1.0,1.0,1.0
459.GemsFDTD,32.0,0.995519917446017,1.0,1.0,1.0
459.GemsFDTD,64.0,1.0001055077056995,1.0,1.0,1.0
459.GemsFDTD,128.0,0.9997468611226845,1.0,1.0,1.0
462.libquantum,16.0,0.9552348221733783,1.0,1.0,1.0
462.libquantum,32.0,0.9800012046366615,1.0,1.0,1.0
462.libquantum,64.0,0.9997664105758295,1.0,1.0,1.0
462.libquantum,128.0,1.0000147618314519,1.0,1.0,1.0
464.h264ref,16.0,1.0000292192393647,1.0,1.0,1.0
464.h264ref,32.0,0.9999668925984667,1.0,1.0,1.0
464.h264ref,64.0,1.000050868561159,1.0,1.0,1.0
464.h264ref,128.0,1.0,1.0,1.0,1.0
470.lbm,16.0,0.9299175885436016,1.0000822515070198,1.0,0.9992979652949394
470.lbm,32.0,0.972713592759113,1.0,1.0,1.0
470.lbm,64.0,0.9948180365356831,1.0,1.0,1.0
470.lbm,128.0,0.9998312971121244,1.0,1.0,1.0
471.omnetpp,16.0,0.909548170224849,0.9945070415977203,0.9661277490107268,0.9646852282398404
471.omnetpp,32.0,0.9693766637152644,1.0,1.0,1.0
471.omnetpp,64.0,0.9795918544370494,1.0,1.0,1.0
471.omnetpp,128.0,0.9821170340589931,1.0,1.0,1.0
473.astar,16.0,0.9655842601297562,1.0,1.0,1.0
473.astar,32.0,0.9993089858053262,1.0,1.0,1.0
473.astar,64.0,1.0000372849861299,1.0,1.0,1.0
473.astar,128.0,1.0,1.0,1.0,1.0
481.wrf,16.0,1.0,1.0,1.0,1.0
481.wrf,32.0,1.0,1.0,1.0,1.0
481.wrf,64.0,1.0,1.0,1.0,1.0
481.wrf,128.0,1.0,1.0,1.0,1.0
482.sphinx3,16.0,0.9519396657111787,1.0,1.0,1.0
482.sphinx3,32.0,0.9813862387713608,1.0,1.0,1.0
482.sphinx3,64.0,0.9928047236975864,1.0,1.0,1.0
482.sphinx3,128.0,0.9979587972272326,1.0,1.0,1.0
483.xalancbmk,16.0,0.916055560073834,0.9966376335442586,0.9983410807508695,0.9866453524212231
483.xalancbmk,32.0,0.9625521571435184,1.0,1.0,1.0
483.xalancbmk,64.0,0.9831516422827479,1.0,1.0,1.0
483.xalancbmk,128.0,0.994610589579455,1.0,1.0,1.0
500.perlbench,16.0,0.9966388585103321,1.0,1.0,1.0
500.perlbench,32.0,0.9992166667834241,1.0,1.0,1.0
500.perlbench,64.0,0.9999373793323529,1.0,1.0,1.0
500.perlbench,128.0,1.0,1.0,1.0,1.0
502.gcc,16.0,0.9956800701108319,1.0,1.0,1.0
502.gcc,32.0,0.9951065205562151,1.0,1.0,1.0
502.gcc,64.0,1.0015307478389313,1.0,1.0,1.0
502.gcc,128.0,0.9994569218154356,1.0,1.0,1.0
505.mcf,16.0,0.9838818787029978,1.0,1.0,1.0
505.mcf,32.0,0.9931095794982507,1.0,1.0,1.0
505.mcf,64.0,0.9912048515663068,1.0,1.0,1.0
505.mcf,128.0,1.0008077348547038,1.0,1.0,1.0
507.cactuBSSN,16.0,0.9607113871956868,1.0,1.0,1.0
507.cactuBSSN,32.0,0.9891480535299274,1.0,1.0,1.0
507.cactuBSSN,64.0,0.9994716042898352,1.0,1.0,1.0
507.cactuBSSN,128.0,1.0,1.0,1.0,1.0
508.namd,16.0,0.9995393999557475,1.0,1.0,1.0
508.namd,32.0,0.999985114993623,1.0,1.0,1.0
508.namd,64.0,1.0,1.0,1.0,1.0
508.namd,128.0,1.0,1.0,1.0,1.0
510.parest,16.0,0.9474238355110428,1.0,1.0,1.0
510.parest,32.0,0.9787626937920173,1.0,1.0,1.0
510.parest,64.0,0.9928521864285131,1.0,1.0,1.0
510.parest,128.0,0.9974364210403758,1.0,1.0,1.0
511.povray,16.0,1.0,1.0,1.0,1.0
511.povray,32.0,1.0,1.0,1.0,1.0
511.povray,64.0,1.0,1.0,1.0,1.0
511.povray,128.0,1.0,1.0,1.0,1.0
519.lbm,16.0,0.9334887333470895,1.0,1.0,0.9999384011410232
519.lbm,32.0,0.9737098137318366,1.0,1.0,1.0
519.lbm,64.0,0.9968425495117437,1.0,1.0,1.0
519.lbm,128.0,0.9997438146333526,1.0,1.0,1.0
520.omnetpp,16.0,0.9521757005007028,1.0,1.0,1.0
520.omnetpp,32.0,0.9848321287787991,1.0,1.0,1.0
520.omnetpp,64.0,0.9968224907484325,1.0,1.0,1.0
520.omnetpp,128.0,0.9995061795370951,1.0,1.0,1.0
523.xalancbmk,16.0,0.9928975819186978,1.0,1.0,1.0
523.xalancbmk,32.0,0.9957802571850274,1.0,1.0,1.0
523.xalancbmk,64.0,0.9996588012611773,1.0,1.0,1.0
523.xalancbmk,128.0,0.9998702301452231,1.0,1.0,1.0
525.x264,16.0,0.9993791075767883,1.0,1.0,1.0
525.x264,32.0,1.000000915194235,1.0,1.0,1.0
525.x264,64.0,1.0,1.0,1.0,1.0
525.x264,128.0,1.0,1.0,1.0,1.0
526.blender,16.0,0.9999452524502777,1.0,1.0,1.0
526.blender,32.0,0.999999742306971,1.0,1.0,1.0
526.blender,64.0,1.0,1.0,1.0,1.0
526.blender,128.0,1.0,1.0,1.0,1.0
531.deepsjeng,16.0,1.0000613435716228,1.0,1.0,1.0
531.deepsjeng,32.0,1.0,1.0,1.0,1.0
531.deepsjeng,64.0,1.0,1.0,1.0,1.0
531.deepsjeng,128.0,1.0,1.0,1.0,1.0
538.imagick,16.0,1.0,1.0,1.0,1.0
538.imagick,32.0,1.0,1.0,1.0,1.0
538.imagick,64.0,1.0,1.0,1.0,1.0
538.imagick,128.0,1.0,1.0,1.0,1.0
541.leela,16.0,1.0,1.0,1.0,1.0
541.leela,32.0,1.0,1.0,1.0,1.0
541.leela,64.0,1.0,1.0,1.0,1.0
541.leela,128.0,1.0,1.0,1.0,1.0
544.nab,16.0,0.9998565290088408,1.0,1.0,1.0
544.nab,32.0,0.9998154877079567,1.0,1.0,1.0
544.nab,64.0,1.0,1.0,1.0,1.0
544.nab,128.0,1.0,1.0,1.0,1.0
549.fotonik3d,16.0,0.9469406976167113,1.0000919206735168,1.0000919206735168,0.9999443760950564
549.fotonik3d,32.0,0.9955172867829731,1.0,1.0,1.0
549.fotonik3d,64.0,1.0007521927118166,1.0,1.0,1.0
549.fotonik3d,128.0,1.0001492130949239,1.0,1.0,1.0
557.xz,16.0,0.9810451805997232,1.0,1.0,1.0
557.xz,32.0,0.9947038669803643,1.0,1.0,1.0
557.xz,64.0,0.9992658291748602,1.0,1.0,1.0
557.xz,128.0,0.9998091559553365,1.0,1.0,1.0
grep_map0,16.0,0.9994008049619967,1.0,1.0,1.0
grep_map0,32.0,1.000043038315203,1.0,1.0,1.0
grep_map0,64.0,0.9998821870967566,1.0,1.0,1.0
grep_map0,128.0,1.0,1.0,1.0,1.0
h264_encode,16.0,1.0,1.0,1.0,1.0
h264_encode,32.0,1.0,1.0,1.0,1.0
h264_encode,64.0,1.0,1.0,1.0,1.0
h264_encode,128.0,1.0,1.0,1.0,1.0
