workload,PRAC_level,QPRAC,QPRAC+Proactive,QPRAC-Ideal
401.bzip2,1.0,0.9948515341911768,1.0,1.0
401.bzip2,2.0,0.9978256778669812,1.0,1.0
401.bzip2,4.0,0.9952856111768864,1.0,1.0
403.gcc,1.0,1.0,1.0,1.0
403.gcc,2.0,1.0,1.0,1.0
403.gcc,4.0,1.0,1.0,1.0
429.mcf,1.0,0.9410437592714325,1.0,1.0
429.mcf,2.0,0.9417506357526028,1.0,1.0
429.mcf,4.0,0.939721312696849,1.0,1.0
433.milc,1.0,0.9974117946336419,1.0,1.0
433.milc,2.0,0.9968661542645707,1.0,1.0
433.milc,4.0,0.9962793438313475,1.0,1.0
434.zeusmp,1.0,0.9623234964822928,1.0,1.0
434.zeusmp,2.0,0.9597859220982146,1.0,1.0
434.zeusmp,4.0,0.9502626101764052,1.0,1.0
435.gromacs,1.0,0.9999696701673775,1.0,1.0
435.gromacs,2.0,0.9996828912080521,1.0,1.0
435.gromacs,4.0,1.0000249850424616,1.0,1.0
436.cactusADM,1.0,0.9866185768808065,1.0,1.0
436.cactusADM,2.0,0.9843076016809553,1.0,1.0
436.cactusADM,4.0,0.9783029820920597,1.0,1.0
437.leslie3d,1.0,0.9781248047120439,1.0,1.0
437.leslie3d,2.0,0.9780754188984222,1.0,1.0
437.leslie3d,4.0,0.970931441324647,1.0,1.0
444.namd,1.0,1.0,1.0,1.0
444.namd,2.0,1.0,1.0,1.0
444.namd,4.0,1.0,1.0,1.0
445.gobmk,1.0,1.000004472651872,1.0,1.0
445.gobmk,2.0,0.9998319659825362,1.0,1.0
445.gobmk,4.0,0.9997363303703747,1.0,1.0
447.dealII,1.0,1.0,1.0,1.0
447.dealII,2.0,1.0,1.0,1.0
447.dealII,4.0,1.0,1.0,1.0
450.soplex,1.0,0.9673270090653316,1.0,1.0
450.soplex,2.0,0.9564359189003143,1.0,1.0
450.soplex,4.0,0.9669623426282509,1.0,1.0
456.hmmer,1.0,0.9936649906066881,1.0,1.0
456.hmmer,2.0,0.9930276408680804,1.0,1.0
456.hmmer,4.0,0.9883885197377453,1.0,1.0
458.sjeng,1.0,1.0,1.0,1.0
458.sjeng,2.0,1.0001189433368156,1.0,1.0
458.sjeng,4.0,1.0000047105738232,1.0,1.0
459.GemsFDTD,1.0,0.9905563237389617,1.0,1.0
459.GemsFDTD,2.0,0.9889858716488844,1.0,1.0
459.GemsFDTD,4.0,0.986777948902232,1.0,1.0
462.libquantum,1.0,0.9756649272041497,1.0,1.0
462.libquantum,2.0,0.9746596203989023,1.0,1.0
462.libquantum,4.0,0.9718478904525913,1.0,1.0
464.h264ref,1.0,0.999748356113877,1.0,1.0
464.h264ref,2.0,0.9997336755995553,1.0,1.0
464.h264ref,4.0,0.999104753930559,1.0,1.0
470.lbm,1.0,0.9675709795636157,1.0,1.0
470.lbm,2.0,0.9679661096346031,1.0,1.0
470.lbm,4.0,0.963246329073438,1.0,1.0
471.omnetpp,1.0,0.9615883819900475,1.0,1.0
471.omnetpp,2.0,0.9482815999424109,1.0,1.0
471.omnetpp,4.0,0.9595530199252739,1.0,1.0
473.astar,1.0,0.9992482309205801,1.0,1.0
473.astar,2.0,0.9991205948659131,1.0,1.0
473.astar,4.0,0.9992086974446479,1.0,1.0
481.wrf,1.0,1.0,1.0,1.0
481.wrf,2.0,1.0,1.0,1.0
481.wrf,4.0,1.0,1.0,1.0
482.sphinx3,1.0,0.9720329565726837,1.0,1.0
482.sphinx3,2.0,0.9712232832343775,1.0,1.0
482.sphinx3,4.0,0.9668392974603071,1.0,1.0
483.xalancbmk,1.0,0.9596495597246039,1.0,1.0
483.xalancbmk,2.0,0.951293791973894,1.0,1.0
483.xalancbmk,4.0,0.9461480539738076,1.0,1.0
500.perlbench,1.0,0.9995522339572844,1.0,1.0
500.perlbench,2.0,0.9993525177023407,1.0,1.0
500.perlbench,4.0,0.9991421626963597,1.0,1.0
502.gcc,1.0,1.0004851548380347,1.0,1.0
502.gcc,2.0,0.9996842996156958,1.0,1.0
502.gcc,4.0,0.9968666061938347,1.0,1.0
505.mcf,1.0,0.9804015865482062,1.0,1.0
505.mcf,2.0,0.9761674485451549,1.0,1.0
505.mcf,4.0,0.9783411944904611,1.0,1.0
507.cactuBSSN,1.0,0.9914148389953032,1.0,1.0
507.cactuBSSN,2.0,0.9895396143011116,1.0,1.0
507.cactuBSSN,4.0,0.9884799173904698,1.0,1.0
508.namd,1.0,1.0002988553311365,1.0,1.0
508.namd,2.0,1.0002127200838775,1.0,1.0
508.namd,4.0,1.0000915442117795,1.0,1.0
510.parest,1.0,0.970806763863589,1.0,1.0
510.parest,2.0,0.9720082971868232,1.0,1.0
510.parest,4.0,0.9663644742168327,1.0,1.0
511.povray,1.0,1.0,1.0,1.0
511.povray,2.0,1.0,1.0,1.0
511.povray,4.0,1.0,1.0,1.0
519.lbm,1.0,0.968926317757293,1.0,1.0
519.lbm,2.0,0.9687371041192977,1.0,1.0
519.lbm,4.0,0.9623759701161286,1.0,1.0
520.omnetpp,1.0,0.9859501014812765,1.0,1.0
520.omnetpp,2.0,0.9850569887651034,1.0,1.0
520.omnetpp,4.0,0.9840227827169392,1.0,1.0
523.xalancbmk,1.0,0.995429616226013,1.0,1.0
