workload,PSQ_size,QPRAC,QPRAC+1Proactive_per_4tREFI,QPRAC+1Proactive_per_2tREFI,QPRAC+1Proactive_per_1tREFI
401.bzip2,1.0,0.996611583607104,1.0,1.0,1.0
401.bzip2,2.0,0.9942699144661271,1.0,1.0,1.0
401.bzip2,3.0,0.9970068853863805,1.0,1.0,1.0
401.bzip2,4.0,0.9893915778744464,1.0,1.0,1.0
401.bzip2,5.0,0.9948515341911768,1.0,1.0,1.0
403.gcc,1.0,1.0,1.0,1.0,1.0
403.gcc,2.0,1.0,1.0,1.0,1.0
403.gcc,3.0,1.0,1.0,1.0,1.0
403.gcc,4.0,1.0,1.0,1.0,1.0
403.gcc,5.0,1.0,1.0,1.0,1.0
429.mcf,1.0,0.9361030375707605,0.9584131778979844,0.9833178417023251,1.0
429.mcf,2.0,0.9399802633975337,0.9652527925173653,0.9882278337763238,1.0
429.mcf,3.0,0.9407266882936076,0.9665279574773867,0.9885197014938767,1.0
429.mcf,4.0,0.9410208814262718,0.9667573809974286,0.9887430993330766,1.0
429.mcf,5.0,0.9410437592714325,0.9662244065869082,0.9889148978926985,1.0
433.milc,1.0,0.9964646924220814,1.0,1.0,1.0
433.milc,2.0,0.997363588953963,1.0,1.0,1.0
433.milc,3.0,0.9969967552580568,1.0,1.0,1.0
433.milc,4.0,0.9974586031282889,1.0,1.0,1.0
433.milc,5.0,0.9974117946336419,1.0,1.0,1.0
434.zeusmp,1.0,0.9446837993802115,0.968014461331635,0.9906346261157628,1.0
434.zeusmp,2.0,0.9562395700384497,0.9782798569264609,0.9975239535043902,1.0
434.zeusmp,3.0,0.9601831397682403,0.9807819487756759,0.9984637776889917,1.0
434.zeusmp,4.0,0.9617780748206801,0.981243910792602,0.9990432874386658,1.0
434.zeusmp,5.0,0.9623234964822928,0.9819271768371005,0.9992433930073015,1.0
435.gromacs,1.0,0.9984941044386131,1.0,1.0,1.0
435.gromacs,2.0,0.999073885810713,1.0,1.0,1.0
435.gromacs,3.0,0.9997787518292338,1.0,1.0,1.0
435.gromacs,4.0,0.9991180321556146,1.0,1.0,1.0
435.gromacs,5.0,0.9999696701673775,1.0,1.0,1.0
436.cactusADM,1.0,0.9833157245225301,0.9999516257479327,1.0,1.0
436.cactusADM,2.0,0.9838188542462344,1.0000643995867655,1.0,1.0
436.cactusADM,3.0,0.9858388259718932,1.0,1.0,1.0
436.cactusADM,4.0,0.9854447513746624,1.0,1.0,1.0
436.cactusADM,5.0,0.9866185768808065,1.0,1.0,1.0
437.leslie3d,1.0,0.9708984384600031,0.9928002509425337,1.0000272060451199,1.0
437.leslie3d,2.0,0.9764123310793503,0.9964608600454897,1.0,1.0
437.leslie3d,3.0,0.9780205937479367,0.9969595463729679,1.0,1.0
437.leslie3d,4.0,0.9780869276255189,0.9979139657096324,1.0,1.0
437.leslie3d,5.0,0.9781248047120439,0.9980525049598604,1.0,1.0
444.namd,1.0,1.0,1.0,1.0,1.0
444.namd,2.0,1.0,1.0,1.0,1.0
444.namd,3.0,1.0,1.0,1.0,1.0
444.namd,4.0,1.0,1.0,1.0,1.0
444.namd,5.0,1.0,1.0,1.0,1.0
445.gobmk,1.0,0.9999655617981763,1.0,1.0,1.0
445.gobmk,2.0,1.000053792106695,1.0,1.0,1.0
445.gobmk,3.0,1.000035834040411,1.0,1.0,1.0
445.gobmk,4.0,1.000004472651872,1.0,1.0,1.0
445.gobmk,5.0,1.000004472651872,1.0,1.0,1.0
447.dealII,1.0,1.0,1.0,1.0,1.0
447.dealII,2.0,1.0,1.0,1.0,1.0
447.dealII,3.0,1.0,1.0,1.0,1.0
447.dealII,4.0,1.0,1.0,1.0,1.0
447.dealII,5.0,1.0,1.0,1.0,1.0
450.soplex,1.0,0.9659431674709194,0.987226419656145,1.0059137706888703,1.0
450.soplex,2.0,0.9652041331956331,0.9777327296372419,1.0,1.0
450.soplex,3.0,0.9398515615217822,0.9883791330379464,1.0,1.0
450.soplex,4.0,0.967628759876732,0.9930461497346662,1.0,1.0
450.soplex,5.0,0.9673270090653316,0.9788068089949213,1.0,1.0
456.hmmer,1.0,0.9905993106948313,1.0,1.0,1.0
456.hmmer,2.0,0.9926654043740343,1.0,1.0,1.0
456.hmmer,3.0,0.9874851459184565,1.0,1.0,1.0
456.hmmer,4.0,0.993311346117386,1.0,1.0,1.0
456.hmmer,5.0,0.9936649906066881,1.0,1.0,1.0
458.sjeng,1.0,1.0,1.0,1.0,1.0
458.sjeng,2.0,1.0,1.0,1.0,1.0
458.sjeng,3.0,1.0,1.0,1.0,1.0
458.sjeng,4.0,1.0,1.0,1.0,1.0
458.sjeng,5.0,1.0,1.0,1.0,1.0
459.GemsFDTD,1.0,0.9857453157263446,0.9999827150937798,1.0,1.0
459.GemsFDTD,2.0,0.9893471266579082,1.0,1.0,1.0
459.GemsFDTD,3.0,0.9901823602824918,1.0,1.0,1.0
459.GemsFDTD,4.0,0.9902375090561425,1.0,1.0,1.0
459.GemsFDTD,5.0,0.9905563237389617,1.0,1.0,1.0
462.libquantum,1.0,0.9649647535230441,0.989044919177499,1.0,1.0
462.libquantum,2.0,0.9723413394749869,0.9942353954385503,1.0,1.0
462.libquantum,3.0,0.9746895323606596,0.9957250353030183,1.0,1.0
462.libquantum,4.0,0.9752371276806195,0.9965284930118727,1.0,1.0
462.libquantum,5.0,0.9756649272041497,0.9961748941563052,1.0,1.0
464.h264ref,1.0,0.9996719954427029,1.0,1.0,1.0
464.h264ref,2.0,0.9995872167520236,1.0,1.0,1.0
464.h264ref,3.0,0.9995953625219497,1.0,1.0,1.0
464.h264ref,4.0,0.9996993208242864,1.0,1.0,1.0
464.h264ref,5.0,0.999748356113877,1.0,1.0,1.0
470.lbm,1.0,0.9562262792966052,0.9828450593686344,0.9996637497981483,1.0
470.lbm,2.0,0.9645349849915015,0.9912488826196121,1.0,1.0
470.lbm,3.0,0.9665412725556145,0.9926154573039586,1.0,1.0
470.lbm,4.0,0.9669679451138512,0.9932791938031735,1.0,1.0
470.lbm,5.0,0.9675709795636157,0.9936741109151171,1.0,1.0
471.omnetpp,1.0,0.9375961202764163,0.9637750335969815,0.9881707232009698,1.0
471.omnetpp,2.0,0.9479646977158346,0.972780694360911,0.9856793607871367,1.0
471.omnetpp,3.0,0.9543243893951208,0.9752155468028965,1.0047430241020434,1.0
471.omnetpp,4.0,0.9561672312900541,0.979706078580723,0.9989547544402467,1.0
471.omnetpp,5.0,0.9615883819900475,0.9863169025079294,0.9992035147648965,1.0
473.astar,1.0,0.998871645864254,1.0,1.0,1.0
473.astar,2.0,0.9990721247923104,1.0,1.0,1.0
