workload,PSQ_size,QPRAC,EA-QPRAC+1Proactive_per_4tREFI,EA-QPRAC+1Proactive_per_2tREFI,EA-QPRAC+1Proactive_per_1tREFI
401.bzip2,1.0,1.0028229935229704,1.0,1.0,1.0
401.bzip2,2.0,0.9998523948435474,1.0,1.0,1.0
401.bzip2,3.0,1.00091058458325,1.0,1.0,1.0
401.bzip2,4.0,0.9983086904431109,1.0,1.0,1.0
401.bzip2,5.0,1.000990580803396,1.0,1.0,1.0
403.gcc,1.0,1.0,1.0,1.0,1.0
403.gcc,2.0,1.0,1.0,1.0,1.0
403.gcc,3.0,1.0,1.0,1.0,1.0
403.gcc,4.0,1.0,1.0,1.0,1.0
403.gcc,5.0,1.0,1.0,1.0,1.0
429.mcf,1.0,0.9367934003503648,0.9589379081306495,0.9839235397398608,1.0
429.mcf,2.0,0.9406538699865522,0.9662594939803368,0.989684524728781,1.0
429.mcf,3.0,0.9413540557581861,0.9671926085773848,0.9902692452072864,1.0
429.mcf,4.0,0.9415535285666973,0.9676023497563626,0.9904464307619036,1.0
429.mcf,5.0,0.9419213703641858,0.967431311943028,0.9904622299979972,1.0
433.milc,1.0,0.9972141436869333,1.0,1.0,1.0
433.milc,2.0,0.997323231146751,1.0,1.0,1.0
433.milc,3.0,0.99752908514313,1.0,1.0,1.0
433.milc,4.0,0.9974283694260403,1.0,1.0,1.0
433.milc,5.0,0.997433738838819,1.0,1.0,1.0
434.zeusmp,1.0,0.9622783114983285,0.9800456348101919,1.000127152660169,1.0
434.zeusmp,2.0,0.9698275744526264,0.9893156859911715,1.0,1.0
434.zeusmp,3.0,0.9721971400195273,0.9913258387150022,1.0,1.0
434.zeusmp,4.0,0.9724850044240141,0.9917991630206903,1.0,1.0
434.zeusmp,5.0,0.9730518490925634,0.9923630606867588,1.0,1.0
435.gromacs,1.0,0.9999514851738966,1.0,1.0,1.0
435.gromacs,2.0,0.9999514851738966,1.0,1.0,1.0
435.gromacs,3.0,0.9999514851738966,1.0,1.0,1.0
435.gromacs,4.0,0.9999514851738966,1.0,1.0,1.0
435.gromacs,5.0,0.9999514851738966,1.0,1.0,1.0
436.cactusADM,1.0,0.9816276807372831,0.9994354835333465,1.0,1.0
436.cactusADM,2.0,0.9845312070906681,0.9999842793118261,1.0,1.0
436.cactusADM,3.0,0.9861347002449836,1.0,1.0,1.0
436.cactusADM,4.0,0.9876735247761693,1.0,1.0,1.0
436.cactusADM,5.0,0.9881183994025184,1.0,1.0,1.0
437.leslie3d,1.0,0.988219032030093,1.0,1.0,1.0
437.leslie3d,2.0,0.9896172985942192,1.0,1.0,1.0
437.leslie3d,3.0,0.991249852848414,1.0,1.0,1.0
437.leslie3d,4.0,0.9904290637323107,1.0,1.0,1.0
437.leslie3d,5.0,0.9913653822759293,1.0,1.0,1.0
444.namd,1.0,1.0,1.0,1.0,1.0
444.namd,2.0,1.0,1.0,1.0,1.0
444.namd,3.0,1.0,1.0,1.0,1.0
444.namd,4.0,1.0,1.0,1.0,1.0
444.namd,5.0,1.0,1.0,1.0,1.0
445.gobmk,1.0,0.999823860112173,1.0,1.0,1.0
445.gobmk,2.0,0.999823860112173,1.0,1.0,1.0
445.gobmk,3.0,0.9998823635157607,1.0,1.0,1.0
445.gobmk,4.0,0.9998907829452358,1.0,1.0,1.0
445.gobmk,5.0,0.9998907829452358,1.0,1.0,1.0
447.dealII,1.0,1.0,1.0,1.0,1.0
447.dealII,2.0,1.0,1.0,1.0,1.0
447.dealII,3.0,1.0,1.0,1.0,1.0
447.dealII,4.0,1.0,1.0,1.0,1.0
447.dealII,5.0,1.0,1.0,1.0,1.0
450.soplex,1.0,0.9761955365787465,0.9854337311767012,1.0,1.0
450.soplex,2.0,0.9657128468870375,0.9875649560044639,1.0,1.0
450.soplex,3.0,0.9634890133205156,0.9911685789833914,1.0,1.0
450.soplex,4.0,0.9825122171667106,0.992854223396684,1.0,1.0
450.soplex,5.0,0.954651201097635,0.9908675364216413,1.0,1.0
456.hmmer,1.0,0.9945612110386887,1.0,1.0,1.0
456.hmmer,2.0,0.9962797989403525,1.0,1.0,1.0
456.hmmer,3.0,0.994490881357086,1.0,1.0,1.0
456.hmmer,4.0,0.9968850355146617,1.0,1.0,1.0
456.hmmer,5.0,0.9970092543175919,1.0,1.0,1.0
458.sjeng,1.0,1.0,1.0,1.0,1.0
458.sjeng,2.0,1.0,1.0,1.0,1.0
458.sjeng,3.0,1.0,1.0,1.0,1.0
458.sjeng,4.0,1.0,1.0,1.0,1.0
458.sjeng,5.0,1.0,1.0,1.0,1.0
459.GemsFDTD,1.0,0.9928090717826485,1.0,1.0,1.0
459.GemsFDTD,2.0,0.9944001890294893,1.0,1.0,1.0
459.GemsFDTD,3.0,0.9949183030724181,1.0,1.0,1.0
459.GemsFDTD,4.0,0.9951189798569429,1.0,1.0,1.0
459.GemsFDTD,5.0,0.995519917446017,1.0,1.0,1.0
462.libquantum,1.0,0.9711814279512377,0.9976540253999971,1.0,1.0
462.libquantum,2.0,0.9772711367092155,0.99916215614284,1.0,1.0
462.libquantum,3.0,0.9792093633495463,0.9998481367648425,1.0,1.0
462.libquantum,4.0,0.9791813332753021,0.9996673267873822,1.0,1.0
462.libquantum,5.0,0.9800012046366615,0.9996695651775426,1.0,1.0
464.h264ref,1.0,1.0001374267876977,1.0,1.0,1.0
464.h264ref,2.0,0.9998056109895082,1.0,1.0,1.0
464.h264ref,3.0,0.9999730469318056,1.0,1.0,1.0
464.h264ref,4.0,1.0000040161969106,1.0,1.0,1.0
464.h264ref,5.0,0.9999668925984667,1.0,1.0,1.0
470.lbm,1.0,0.967849323906911,0.9939711654681166,1.0,1.0
470.lbm,2.0,0.9715016363780856,0.9964028349980311,1.0,1.0
470.lbm,3.0,0.9724200702485665,0.9968076579573416,1.0,1.0
470.lbm,4.0,0.9724632454983096,0.9970608684256754,1.0,1.0
470.lbm,5.0,0.972713592759113,0.9970469972455898,1.0,1.0
471.omnetpp,1.0,0.9511682056858616,0.9750398209039444,0.9909424605293045,1.0
471.omnetpp,2.0,0.9605758509490424,0.9678418153500172,0.9856194748704408,1.0
471.omnetpp,3.0,0.9628484870575248,0.9919350453736928,0.9861077290677854,1.0
471.omnetpp,4.0,0.9615486643948147,0.9840382872703918,0.9997698855769689,1.0
471.omnetpp,5.0,0.9693766637152644,0.9700792829110539,0.9919943028575384,1.0
473.astar,1.0,0.9985462692612767,1.0,1.0,1.0
473.astar,2.0,0.9989131553628655,1.0,1.0,1.0
473.astar,3.0,0.9989553072474612,1.0,1.0,1.0
473.astar,4.0,0.9992011239402043,1.0,1.0,1.0
473.astar,5.0,0.9993089858053262,1.0,1.0,1.0
481.wrf,1.0,1.0,1.0,1.0,1.0
481.wrf,2.0,1.0,1.0,1.0,1.0
481.wrf,3.0,1.0,1.0,1.0,1.0
481.wrf,4.0,1.0,1.0,1.0,1.0
481.wrf,5.0,1.0,1.0,1.0,1.0
482.sphinx3,1.0,0.9770080831510397,0.9992502526647133,1.0,1.0
482.sphinx3,2.0,0.9803264662790679,0.9997076768216018,1.0,1.0
482.sphinx3,3.0,0.9807018427853216,0.9994098418279597,1.0,1.0
482.sphinx3,4.0,0.9809855657871941,1.0,1.0,1.0
482.sphinx3,5.0,0.9813862387713608,1.0,1.0,1.0
483.xalancbmk,1.0,0.9575646988242008,0.9785498434841237,0.9983791263188945,1.0
483.xalancbmk,2.0,0.9623137860748744,0.9859742754906325,0.9992530999621493,1.0
483.xalancbmk,3.0,0.9596210518490093,0.9887903901134967,0.9995238867476552,1.0
483.xalancbmk,4.0,0.9623126822007153,0.9889417046260519,0.9990576023972444,1.0
483.xalancbmk,5.0,0.9625521571435184,0.9891966990412407,1.0,1.0
500.perlbench,1.0,0.9991822937733821,1.0,1.0,1.0
500.perlbench,2.0,0.9993407322054148,1.0,1.0,1.0
500.perlbench,3.0,0.9992224522858917,1.0,1.0,1.0
