GroupSize	 NBO	 PRAC-CONFIG	 MAXIMUM_ACT
1	32	1	39
2	32	1	38
3	32	1	40
4	32	1	41
5	32	1	41
6	32	1	42
7	32	1	43
8	32	1	43
9	32	1	43
10	32	1	44
11	32	1	45
12	32	1	44
13	32	1	45
14	32	1	46
15	32	1	46
16	32	1	45
17	32	1	46
18	32	1	46
19	32	1	47
20	32	1	47
21	32	1	47
22	32	1	47
23	32	1	47
24	32	1	47
25	32	1	48
26	32	1	48
27	32	1	48
28	32	1	48
29	32	1	48
30	32	1	48
31	32	1	48
32	32	1	48
33	32	1	49
34	32	1	49
35	32	1	49
36	32	1	49
37	32	1	49
38	32	1	49
39	32	1	49
40	32	1	49
41	32	1	49
42	32	1	49
43	32	1	49
44	32	1	50
45	32	1	50
46	32	1	50
47	32	1	50
48	32	1	50
49	32	1	50
50	32	1	49
51	32	1	49
52	32	1	50
53	32	1	50
54	32	1	50
55	32	1	50
56	32	1	50
57	32	1	50
58	32	1	51
59	32	1	51
60	32	1	51
61	32	1	51
62	32	1	51
63	32	1	51
64	32	1	51
65	32	1	51
66	32	1	51
67	32	1	50
68	32	1	50
69	32	1	51
70	32	1	51
71	32	1	51
72	32	1	51
73	32	1	51
74	32	1	51
75	32	1	51
76	32	1	51
77	32	1	52
78	32	1	52
79	32	1	52
80	32	1	52
81	32	1	52
82	32	1	52
83	32	1	52
84	32	1	52
85	32	1	52
86	32	1	52
87	32	1	52
88	32	1	52
89	32	1	52
90	32	1	51
91	32	1	51
92	32	1	52
93	32	1	52
94	32	1	52
95	32	1	52
96	32	1	52
97	32	1	52
98	32	1	52
99	32	1	52
100	32	1	52
101	32	1	52
102	32	1	53
103	32	1	53
104	32	1	53
105	32	1	53
106	32	1	53
107	32	1	53
108	32	1	53
109	32	1	53
110	32	1	53
111	32	1	53
112	32	1	53
113	32	1	53
114	32	1	53
115	32	1	53
116	32	1	53
117	32	1	53
118	32	1	53
119	32	1	52
120	32	1	52
121	32	1	52
122	32	1	52
123	32	1	53
124	32	1	53
125	32	1	53
126	32	1	53
127	32	1	53
128	32	1	53
129	32	1	53
130	32	1	53
131	32	1	53
132	32	1	53
133	32	1	53
134	32	1	53
135	32	1	53
136	32	1	53
137	32	1	54
138	32	1	54
139	32	1	54
140	32	1	54
141	32	1	54
142	32	1	54
143	32	1	54
144	32	1	54
145	32	1	54
146	32	1	54
147	32	1	54
148	32	1	54
149	32	1	54
150	32	1	54
151	32	1	54
152	32	1	54
153	32	1	54
154	32	1	54
155	32	1	54
156	32	1	54
157	32	1	54
158	32	1	54
159	32	1	53
160	32	1	53
161	32	1	53
162	32	1	53
163	32	1	53
164	32	1	54
165	32	1	54
166	32	1	54
167	32	1	54
168	32	1	54
169	32	1	54
170	32	1	54
171	32	1	54
172	32	1	54
173	32	1	54
174	32	1	54
175	32	1	54
176	32	1	54
177	32	1	54
178	32	1	54
179	32	1	54
180	32	1	54
181	32	1	54
182	32	1	55
183	32	1	55
184	32	1	55
185	32	1	55
186	32	1	55
187	32	1	55
188	32	1	55
189	32	1	55
190	32	1	55
191	32	1	55
192	32	1	55
193	32	1	55
194	32	1	55
195	32	1	55
196	32	1	55
197	32	1	55
198	32	1	55
199	32	1	55
200	32	1	55
201	32	1	55
202	32	1	55
203	32	1	55
204	32	1	55
205	32	1	55
206	32	1	55
207	32	1	55
208	32	1	55
209	32	1	55
210	32	1	55
211	32	1	55
212	32	1	54
213	32	1	54
214	32	1	54
215	32	1	54
216	32	1	54
217	32	1	54
218	32	1	55
219	32	1	55
220	32	1	55
221	32	1	55
222	32	1	55
223	32	1	55
224	32	1	55
225	32	1	55
226	32	1	55
227	32	1	55
228	32	1	55
229	32	1	55
230	32	1	55
231	32	1	55
232	32	1	55
233	32	1	55
234	32	1	55
235	32	1	55
236	32	1	55
237	32	1	55
238	32	1	55
239	32	1	55
240	32	1	55
241	32	1	55
242	32	1	56
243	32	1	56
244	32	1	56
245	32	1	56
246	32	1	56
247	32	1	56
248	32	1	56
249	32	1	56
250	32	1	56
251	32	1	56
252	32	1	56
253	32	1	56
254	32	1	56
255	32	1	56
256	32	1	56
257	32	1	56
258	32	1	56
259	32	1	56
260	32	1	56
261	32	1	56
262	32	1	56
263	32	1	56
264	32	1	56
265	32	1	56
266	32	1	56
267	32	1	56
268	32	1	56
269	32	1	56
270	32	1	56
271	32	1	56
272	32	1	56
273	32	1	56
274	32	1	56
275	32	1	56
276	32	1	56
277	32	1	56
278	32	1	56
279	32	1	56
280	32	1	56
281	32	1	56
282	32	1	55
283	32	1	55
284	32	1	55
285	32	1	55
286	32	1	55
287	32	1	55
288	32	1	55
289	32	1	55
290	32	1	55
291	32	1	56
292	32	1	56
293	32	1	56
294	32	1	56
295	32	1	56
296	32	1	56
297	32	1	56
298	32	1	56
299	32	1	56
300	32	1	56
301	32	1	56
302	32	1	56
303	32	1	56
304	32	1	56
305	32	1	56
306	32	1	56
307	32	1	56
308	32	1	56
309	32	1	56
310	32	1	56
311	32	1	56
312	32	1	56
313	32	1	56
314	32	1	56
315	32	1	56
316	32	1	56
317	32	1	56
318	32	1	56
319	32	1	56
320	32	1	56
321	32	1	56
322	32	1	57
323	32	1	57
324	32	1	57
325	32	1	57
326	32	1	57
327	32	1	57
328	32	1	57
329	32	1	57
330	32	1	57
331	32	1	57
332	32	1	57
333	32	1	57
334	32	1	57
335	32	1	57
336	32	1	57
337	32	1	57
338	32	1	57
339	32	1	57
340	32	1	57
341	32	1	57
342	32	1	57
343	32	1	57
344	32	1	57
345	32	1	57
346	32	1	57
347	32	1	57
348	32	1	57
349	32	1	57
350	32	1	57
351	32	1	57
352	32	1	57
353	32	1	57
354	32	1	57
355	32	1	57
356	32	1	57
357	32	1	57
358	32	1	57
359	32	1	57
360	32	1	57
361	32	1	57
362	32	1	57
363	32	1	57
364	32	1	57
365	32	1	57
366	32	1	57
367	32	1	57
368	32	1	57
369	32	1	57
370	32	1	57
371	32	1	57
372	32	1	57
373	32	1	57
374	32	1	57
375	32	1	57
376	32	1	56
377	32	1	56
378	32	1	56
379	32	1	56
380	32	1	56
381	32	1	56
382	32	1	56
383	32	1	56
384	32	1	56
385	32	1	56
386	32	1	56
387	32	1	56
388	32	1	57
389	32	1	57
390	32	1	57
391	32	1	57
392	32	1	57
393	32	1	57
394	32	1	57
395	32	1	57
396	32	1	57
397	32	1	57
398	32	1	57
399	32	1	57
400	32	1	57
401	32	1	57
402	32	1	57
403	32	1	57
404	32	1	57
405	32	1	57
406	32	1	57
407	32	1	57
408	32	1	57
409	32	1	57
410	32	1	57
411	32	1	57
412	32	1	57
413	32	1	57
414	32	1	57
415	32	1	57
416	32	1	57
417	32	1	57
418	32	1	57
419	32	1	57
420	32	1	57
421	32	1	57
422	32	1	57
423	32	1	57
424	32	1	57
425	32	1	57
426	32	1	57
427	32	1	57
428	32	1	57
429	32	1	57
430	32	1	57
431	32	1	57
432	32	1	57
433	32	1	57
434	32	1	57
435	32	1	57
436	32	1	57
437	32	1	57
438	32	1	57
439	32	1	57
440	32	1	57
441	32	1	57
442	32	1	57
443	32	1	57
444	32	1	57
445	32	1	57
446	32	1	57
447	32	1	57
448	32	1	57
449	32	1	57
450	32	1	57
451	32	1	57
452	32	1	57
453	32	1	57
454	32	1	57
455	32	1	57
456	32	1	57
457	32	1	57
458	32	1	57
459	32	1	57
460	32	1	57
461	32	1	57
462	32	1	57
463	32	1	57
464	32	1	57
465	32	1	57
466	32	1	57
467	32	1	57
468	32	1	57
469	32	1	57
470	32	1	57
471	32	1	57
472	32	1	57
473	32	1	57
474	32	1	57
475	32	1	57
476	32	1	57
477	32	1	57
478	32	1	57
479	32	1	57
480	32	1	57
481	32	1	57
482	32	1	57
483	32	1	57
484	32	1	57
485	32	1	57
486	32	1	57
487	32	1	57
488	32	1	57
489	32	1	57
490	32	1	57
491	32	1	57
492	32	1	57
493	32	1	57
494	32	1	57
495	32	1	57
496	32	1	57
497	32	1	57
498	32	1	57
499	32	1	57
500	32	1	57
501	32	1	57
502	32	1	57
503	32	1	57
504	32	1	57
505	32	1	57
506	32	1	57
507	32	1	57
508	32	1	57
509	32	1	57
510	32	1	57
511	32	1	57
512	32	1	57
513	32	1	57
514	32	1	57
515	32	1	57
516	32	1	57
517	32	1	57
518	32	1	58
519	32	1	58
520	32	1	58
521	32	1	58
522	32	1	58
523	32	1	58
524	32	1	58
525	32	1	58
526	32	1	58
527	32	1	58
528	32	1	58
529	32	1	58
530	32	1	58
531	32	1	58
532	32	1	58
533	32	1	58
534	32	1	58
535	32	1	58
536	32	1	58
537	32	1	58
538	32	1	58
539	32	1	58
540	32	1	58
541	32	1	58
542	32	1	58
543	32	1	58
544	32	1	58
545	32	1	58
546	32	1	58
547	32	1	58
548	32	1	58
549	32	1	58
550	32	1	58
551	32	1	58
552	32	1	58
553	32	1	58
554	32	1	58
555	32	1	58
556	32	1	58
557	32	1	58
558	32	1	58
559	32	1	58
560	32	1	58
561	32	1	58
562	32	1	58
563	32	1	58
564	32	1	58
565	32	1	58
566	32	1	58
567	32	1	58
568	32	1	58
569	32	1	58
570	32	1	58
571	32	1	58
572	32	1	58
573	32	1	58
574	32	1	58
575	32	1	58
576	32	1	58
577	32	1	58
578	32	1	58
579	32	1	58
580	32	1	58
581	32	1	58
582	32	1	58
583	32	1	58
584	32	1	58
585	32	1	58
586	32	1	58
587	32	1	58
588	32	1	58
589	32	1	58
590	32	1	58
591	32	1	58
592	32	1	58
593	32	1	58
594	32	1	58
595	32	1	58
596	32	1	58
597	32	1	58
598	32	1	58
599	32	1	58
600	32	1	58
601	32	1	58
602	32	1	58
603	32	1	58
604	32	1	58
605	32	1	58
606	32	1	58
607	32	1	58
608	32	1	58
609	32	1	58
610	32	1	58
611	32	1	58
612	32	1	58
613	32	1	58
614	32	1	58
615	32	1	58
616	32	1	58
617	32	1	58
618	32	1	58
619	32	1	58
620	32	1	58
621	32	1	58
622	32	1	58
623	32	1	58
624	32	1	58
625	32	1	58
626	32	1	58
627	32	1	58
628	32	1	58
629	32	1	58
630	32	1	58
631	32	1	58
632	32	1	58
633	32	1	58
634	32	1	58
635	32	1	58
636	32	1	58
637	32	1	58
638	32	1	58
639	32	1	58
640	32	1	58
641	32	1	58
642	32	1	58
643	32	1	58
644	32	1	58
645	32	1	58
646	32	1	58
647	32	1	58
648	32	1	58
649	32	1	58
650	32	1	58
651	32	1	58
652	32	1	58
653	32	1	58
654	32	1	58
655	32	1	58
656	32	1	58
657	32	1	58
658	32	1	58
659	32	1	58
660	32	1	58
661	32	1	58
662	32	1	58
663	32	1	58
664	32	1	58
665	32	1	58
666	32	1	58
667	32	1	58
668	32	1	58
669	32	1	58
670	32	1	58
671	32	1	58
672	32	1	58
673	32	1	58
674	32	1	58
675	32	1	58
676	32	1	58
677	32	1	58
678	32	1	58
679	32	1	58
680	32	1	58
681	32	1	58
682	32	1	58
683	32	1	58
684	32	1	58
685	32	1	58
686	32	1	58
687	32	1	58
688	32	1	58
689	32	1	58
690	32	1	59
691	32	1	59
692	32	1	59
693	32	1	59
694	32	1	59
695	32	1	59
696	32	1	59
697	32	1	59
698	32	1	59
699	32	1	59
700	32	1	59
701	32	1	59
702	32	1	59
703	32	1	59
704	32	1	59
705	32	1	59
706	32	1	59
707	32	1	59
708	32	1	59
709	32	1	59
710	32	1	59
711	32	1	59
712	32	1	59
713	32	1	59
714	32	1	59
715	32	1	59
716	32	1	59
717	32	1	59
718	32	1	59
719	32	1	59
720	32	1	59
721	32	1	59
722	32	1	59
723	32	1	59
724	32	1	59
725	32	1	59
726	32	1	59
727	32	1	59
728	32	1	59
729	32	1	59
730	32	1	59
731	32	1	59
732	32	1	59
733	32	1	59
734	32	1	59
735	32	1	59
736	32	1	59
737	32	1	59
738	32	1	59
739	32	1	59
740	32	1	59
741	32	1	59
742	32	1	59
743	32	1	59
744	32	1	59
745	32	1	59
746	32	1	59
747	32	1	59
748	32	1	59
749	32	1	59
750	32	1	59
751	32	1	59
752	32	1	59
753	32	1	59
754	32	1	59
755	32	1	59
756	32	1	59
757	32	1	59
758	32	1	59
759	32	1	59
760	32	1	59
761	32	1	59
762	32	1	59
763	32	1	59
764	32	1	59
765	32	1	59
766	32	1	59
767	32	1	59
768	32	1	59
769	32	1	59
770	32	1	59
771	32	1	59
772	32	1	59
773	32	1	59
774	32	1	59
775	32	1	59
776	32	1	59
777	32	1	59
778	32	1	59
779	32	1	59
780	32	1	59
781	32	1	59
782	32	1	59
783	32	1	59
784	32	1	59
785	32	1	59
786	32	1	59
787	32	1	59
788	32	1	59
789	32	1	59
790	32	1	59
791	32	1	59
792	32	1	59
793	32	1	59
794	32	1	59
795	32	1	59
796	32	1	59
797	32	1	59
798	32	1	59
799	32	1	59
800	32	1	59
801	32	1	59
802	32	1	59
803	32	1	59
804	32	1	59
805	32	1	59
806	32	1	59
807	32	1	59
808	32	1	59
809	32	1	59
810	32	1	59
811	32	1	59
812	32	1	59
813	32	1	59
814	32	1	59
815	32	1	59
816	32	1	59
817	32	1	59
818	32	1	59
819	32	1	59
820	32	1	59
821	32	1	59
822	32	1	59
823	32	1	59
824	32	1	59
825	32	1	59
826	32	1	59
827	32	1	59
828	32	1	59
829	32	1	59
830	32	1	59
831	32	1	59
832	32	1	59
833	32	1	59
834	32	1	59
835	32	1	59
836	32	1	59
837	32	1	59
838	32	1	59
839	32	1	59
840	32	1	59
841	32	1	59
842	32	1	59
843	32	1	59
844	32	1	59
845	32	1	59
846	32	1	59
847	32	1	59
848	32	1	59
849	32	1	59
850	32	1	59
851	32	1	59
852	32	1	59
